artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,ID,Gender,Age,Country,Genres,Followers,URI
Jason Aldean,Dirt Road Anthem,229413,FALSE,2010,53,0.678,0.739,2,-5.068,1,0.0352,0.32,2.36E-06,0.116,0.658,127.037,country,3FfvYsEGaIb52QPXhg4DcH,male,43,US,"['contemporary country', 'country', 'country road', 'modern country rock']",6429854,spotify:artist:3FfvYsEGaIb52QPXhg4DcH
Stromae,Alors on danse - Radio Edit,206066,FALSE,2010,77,0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,pop,5j4HeCoUlzhfWtjAfM1acR,male,35,BE,"['belgian pop', 'g-house']",3170382,spotify:artist:5j4HeCoUlzhfWtjAfM1acR
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,FALSE,1999,68,0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,pop,5rSXSAkZ67PYJSvpUpkOr7,mixed,27,US,"['boy band', 'dance pop', 'pop']",5491812,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7
Bruno Mars,Locked out of Heaven,233478,FALSE,2012,85,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,pop,0du5cEVh5yTK9QJze8zA0C,male,34,US,"['dance pop', 'pop']",52946753,spotify:artist:0du5cEVh5yTK9QJze8zA0C
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),217466,FALSE,2018,79,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36E-06,0.388,0.244,114.066,pop,3hv9jJF3adDNsBSIQDqcjp,male,44,GB,['pop soul'],1053553,spotify:artist:3hv9jJF3adDNsBSIQDqcjp
Kesha,We R Who We R,204760,FALSE,2010,71,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,"pop, Dance/Electronic",6LqNN22kT3074XbTVUrhzX,female,33,US,"['dance pop', 'pop']",7760639,spotify:artist:6LqNN22kT3074XbTVUrhzX
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",212040,FALSE,2007,68,0.435,0.887,9,-4.07,1,0.0636,0.000747,0,0.0327,0.408,199.935,rock,4UXqAaa6dQYAk18Lv7PEgX,mixed,19,US,"['emo', 'modern rock', 'pop', 'rock']",10453224,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX
Martin Garrix,Animals - Radio Edit,176117,FALSE,2013,0,0.593,0.914,1,-5.351,1,0.0363,0.00137,0.445,0.0714,0.0381,128.015,"pop, Dance/Electronic",60d24wfXkVzDSfLS6hyCjZ,male,24,NL,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",15781508,spotify:artist:60d24wfXkVzDSfLS6hyCjZ
Zara Larsson,Lush Life,202213,FALSE,2015,0,0.658,0.741,7,-2.86,0,0.0536,0.141,0,0.189,0.789,98.024,"pop, Dance/Electronic",1Xylc3o4UrD53lo9CvFvVg,female,22,SE,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",10492535,spotify:artist:1Xylc3o4UrD53lo9CvFvVg
Ava Max,Sweet but Psycho,187436,FALSE,2018,7,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,pop,4npEfmQ6YuiwW1GpUmaq3F,female,26,US,['pop'],6310299,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F
Britney Spears,Born to Make You Happy,243533,FALSE,1999,58,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,pop,26dSoYclwsYLMAKD3tpOr4,female,38,US,"['dance pop', 'pop']",13488107,spotify:artist:26dSoYclwsYLMAKD3tpOr4
50 Cent,21 Questions,224440,TRUE,2003,72,0.646,0.813,6,-3.846,0,0.299,0.349,9.37E-05,0.0427,0.895,92.729,"hip hop, pop",3q7HBObVc0L8jNeTe5Gofh,male,45,US,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",13190905,spotify:artist:3q7HBObVc0L8jNeTe5Gofh
Robin Thicke,Blurred Lines,263053,FALSE,2013,55,0.861,0.504,7,-7.707,1,0.0489,0.00412,1.78E-05,0.0783,0.881,120,"pop, R&B",0ZrpamOxcZybMHGg1AYtHP,male,43,US,"['dance pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",1963036,spotify:artist:0ZrpamOxcZybMHGg1AYtHP
Chris Brown,Deuces (feat. Tyga & Kevin McCall),276560,TRUE,2011,68,0.692,0.736,1,-5.109,1,0.11,0.0324,0,0.0787,0.217,73.987,"hip hop, pop, R&B",7bXgB6jMjp9ATFy66eO08Z,male,31,US,"['r&b', 'rap']",21064273,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Missy Elliott,Get Ur Freak On,211120,TRUE,2001,68,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,"hip hop, pop, R&B",2wIVse2owClT7go1WT98tk,female,49,US,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",2361726,spotify:artist:2wIVse2owClT7go1WT98tk
Charlie Puth,The Way I Am,186080,FALSE,2018,64,0.755,0.769,10,-5.658,0,0.186,0.314,2.38E-06,0.0628,0.642,114.966,pop,6VuMaDnrHyPL1p4EHjYLi7,male,28,US,"['pop', 'viral pop']",22013348,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
Calvin Harris,I'm Not Alone - Radio Edit,210973,FALSE,2009,55,0.597,0.684,7,-6.614,1,0.0321,0.00481,0.105,0.317,0.435,130.99,"hip hop, pop, Dance/Electronic",7CajNmpbOovFoOoasH2HaY,male,36,GB,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",23513482,spotify:artist:7CajNmpbOovFoOoasH2HaY
Nickelback,If Today Was Your Last Day,249066,FALSE,2008,66,0.485,0.911,3,-5.749,1,0.0355,8.67E-05,0,0.092,0.568,89.956,"rock, metal",6deZN1bslXzeGvOLaLMOIF,mixed,25,CA,"['alternative metal', 'canadian rock', 'post-grunge']",6650490,spotify:artist:6deZN1bslXzeGvOLaLMOIF
XXXTENTACION,Jocelyn Flores,119133,TRUE,2017,83,0.872,0.391,0,-9.144,0,0.242,0.469,4.13E-06,0.297,0.437,134.021,hip hop,15UsOTVnJzReFVN1VCnxy4,male,20,US,"['emo rap', 'miami hip hop', 'rap']",43832734,spotify:artist:15UsOTVnJzReFVN1VCnxy4
Charlie Puth,Done for Me (feat. Kehlani),180493,FALSE,2018,67,0.856,0.632,6,-3.692,0,0.074,0.193,0,0.0688,0.697,112.009,pop,6VuMaDnrHyPL1p4EHjYLi7,male,28,US,"['pop', 'viral pop']",22013348,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
Katy Perry,California Gurls,234653,FALSE,2012,72,0.791,0.754,0,-3.729,1,0.0569,0.00446,0,0.163,0.425,125.014,pop,6jJ0s89eD6GaHleKKya26X,female,35,US,['pop'],30972097,spotify:artist:6jJ0s89eD6GaHleKKya26X
Wiley,Wearing My Rolex - Radio Edit,170480,FALSE,2008,59,0.876,0.716,1,-6.884,1,0.135,0.0468,0.000482,0.0667,0.755,131.942,"hip hop, Dance/Electronic",7k9T7lZlHjRAM1bb0r9Rm3,male,41,GB,"['grime', 'uk dancehall', 'uk hip hop']",360632,spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3
The Game,My Life,320893,TRUE,2008,60,0.673,0.766,11,-5.018,1,0.349,0.0724,0,0.0563,0.382,148.113,"hip hop, pop",0NbfKEOTQCcwd6o7wSDOHI,male,40,US,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4852548,spotify:artist:0NbfKEOTQCcwd6o7wSDOHI
Enrique Iglesias,I Like It,231373,FALSE,2010,63,0.648,0.942,10,-2.881,0,0.0878,0.021,0,0.0594,0.73,129.007,"pop, latin",7qG3b048QCHVRO5Pv1T5lw,male,45,ES,"['dance pop', 'latin pop', 'mexican pop']",11327161,spotify:artist:7qG3b048QCHVRO5Pv1T5lw
Panic! At The Disco,High Hopes,190946,FALSE,2018,80,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,rock,20JZFwl6HVl6yg8a4H3ZqK,mixed,16,US,"['modern rock', 'pop']",12094183,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,FALSE,2001,68,0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49E-05,0.665,0.653,109.919,pop,1l7ZsJRRS8wlW3WfJfPfNS,female,39,US,"['dance pop', 'pop']",7991477,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
Kehlani,Nights Like This (feat. Ty Dolla $ign),201787,TRUE,2019,74,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,"hip hop, pop, R&B",0cGUm45nv7Z6M6qdXYQGTX,female,25,US,"['pop', 'r&b', 'rap']",7394677,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX
Justin Bieber,Sorry,200786,FALSE,2015,80,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,pop,1uNFoZAHBGtllmzznpCI3s,male,26,CA,"['canadian pop', 'pop']",75112165,spotify:artist:1uNFoZAHBGtllmzznpCI3s
Enrique Iglesias,Not In Love - Radio Mix,223133,FALSE,2003,37,0.762,0.885,0,-5.096,0,0.0395,0.0371,0,0.0519,0.886,117.021,"pop, latin",7qG3b048QCHVRO5Pv1T5lw,male,45,ES,"['dance pop', 'latin pop', 'mexican pop']",11327161,spotify:artist:7qG3b048QCHVRO5Pv1T5lw
Busta Rhymes,Touch It,214960,TRUE,2006,61,0.658,0.551,1,-6.62,1,0.37,0.0043,0.000108,0.197,0.442,138.335,"hip hop, pop",1YfEcTuGvBQ8xSD1f53UnK,male,48,US,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",2620656,spotify:artist:1YfEcTuGvBQ8xSD1f53UnK
Chris Brown,Gimme That,186826,FALSE,2005,63,0.678,0.572,11,-7.033,0,0.0466,0.00374,6.59E-05,0.118,0.444,87.165,"hip hop, pop, R&B",7bXgB6jMjp9ATFy66eO08Z,male,31,US,"['r&b', 'rap']",21064273,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Travis Scott,BUTTERFLY EFFECT,190677,FALSE,2017,0,0.763,0.598,11,-6.865,1,0.0539,0.0714,0,0.112,0.182,140.987,"hip hop, Dance/Electronic",0Y5tJX1MQlPlqiwlOH1tJY,male,28,US,"['hip hop', 'rap', 'slap house']",25672786,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
Kasabian,Fire,252279,FALSE,2009,64,0.525,0.742,10,-5.643,1,0.0311,0.0874,0.149,0.117,0.179,117.029,rock,11wRdbnoYqRddKBrpHt4Ue,mixed,23,GB,"['alternative rock', 'britpop', 'garage rock', 'leicester indie', 'modern rock', 'rock']",1768783,spotify:artist:11wRdbnoYqRddKBrpHt4Ue
Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),210573,FALSE,2016,62,0.689,0.791,0,-5.194,0,0.053,0.023,0,0.0526,0.755,95.04,pop,1l8Fu6IkuTP0U5QetQJ5Xt,mixed,7,US,"['girl group', 'pop', 'talent show']",16318507,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt
Sean Kingston,Fire Burning,239986,FALSE,2009,71,0.839,0.804,1,-2.513,1,0.0329,0.0192,0,0.331,0.888,122.973,"hip hop, pop, R&B",6S0dmVVn4udvppDhZIWxCr,male,30,JM,"['dance pop', 'miami hip hop', 'pop']",3224738,spotify:artist:6S0dmVVn4udvppDhZIWxCr
Ne-Yo,Closer,234360,FALSE,2008,65,0.709,0.745,4,-6.437,0,0.0738,0.0225,5.20E-05,0.154,0.576,126.027,"pop, R&B",21E3waRsmPlU7jZsS13rcj,male,40,US,"['dance pop', 'pop', 'r&b', 'urban contemporary']",8514125,spotify:artist:21E3waRsmPlU7jZsS13rcj
Kesha,TiK ToK,199693,FALSE,2010,80,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,"pop, Dance/Electronic",6LqNN22kT3074XbTVUrhzX,female,33,US,"['dance pop', 'pop']",7760639,spotify:artist:6LqNN22kT3074XbTVUrhzX
Scooter,Nessaja,208449,FALSE,2013,47,0.486,0.904,2,-6.642,1,0.0364,0.000748,0.0984,0.187,0.118,143.048,"pop, Dance/Electronic",0HlxL5hisLf59ETEPM3cUA,mixed,26,DE,"['eurodance', 'german techno', 'hamburg electronic', 'happy hardcore']",799831,spotify:artist:0HlxL5hisLf59ETEPM3cUA
Jay Sean,Down,212106,FALSE,2009,3,0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,"hip hop, pop, R&B",4pADjHPWyrlAF0FA7joK2H,male,39,GB,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",1777465,spotify:artist:4pADjHPWyrlAF0FA7joK2H
Demi Lovato,Heart Attack,210840,FALSE,2013,79,0.504,0.785,8,-4.802,1,0.104,0.0738,0,0.239,0.502,173.968,pop,6S2OmqARrzebs0tKUEyXyp,female,27,US,"['pop', 'post-teen pop']",26513961,spotify:artist:6S2OmqARrzebs0tKUEyXyp
Robbie Williams,Tripping,276603,FALSE,2005,58,0.666,0.922,2,-4.458,0,0.0429,0.0381,0.000191,0.0633,0.828,118.014,"pop, rock",2HcwFjNelS49kFbfvMxQYw,male,46,GB,"['dance rock', 'europop']",2818232,spotify:artist:2HcwFjNelS49kFbfvMxQYw
Capital Cities,Safe And Sound,192693,FALSE,2013,0,0.652,0.783,0,-4.829,1,0.0309,0.000189,0.0173,0.0889,0.836,117.952,pop,4gwpcMTbLWtBUlOijbVpuu,mixed,11,US,"['metropopolis', 'modern rock']",884095,spotify:artist:4gwpcMTbLWtBUlOijbVpuu
Sisqo,Incomplete,274226,TRUE,1999,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0,0.14,0.272,119.311,"hip hop, pop, R&B",6x9QLdzo6eBZxJ1bHsDkjg,male,41,US,"['contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'urban contemporary']",967797,spotify:artist:6x9QLdzo6eBZxJ1bHsDkjg
Kesha,Blow,219973,FALSE,2010,69,0.753,0.729,11,-3.862,0,0.0392,0.00334,5.66E-05,0.073,0.812,120.013,"pop, Dance/Electronic",6LqNN22kT3074XbTVUrhzX,female,33,US,"['dance pop', 'pop']",7760639,spotify:artist:6LqNN22kT3074XbTVUrhzX
JAY-Z,Run This Town,267520,TRUE,2009,75,0.632,0.924,1,-1.802,1,0.29,0.281,0,0.263,0.441,86.844,hip hop,3nFkdlSjzX9mRTtwJOzDYB,male,50,US,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",8836851,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
Mary J. Blige,No More Drama,326240,FALSE,2001,61,0.653,0.837,6,-6.818,0,0.124,0.534,7.12E-05,0.0784,0.64,97.914,"pop, R&B",1XkoF8ryArs86LZvFOkbyr,mixed,0,US,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",3728981,spotify:artist:1XkoF8ryArs86LZvFOkbyr
Linkin Park,In the End,216880,FALSE,2000,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal",6XyY86QOPPrYVGvF9ch6wz,mixed,21,US,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",24974390,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
Robbie Williams,Somethin' Stupid,170493,FALSE,2001,64,0.654,0.515,0,-12.185,1,0.0261,0.429,5.62E-06,0.174,0.677,106.191,"pop, rock",2HcwFjNelS49kFbfvMxQYw,male,46,GB,"['dance rock', 'europop']",2818232,spotify:artist:2HcwFjNelS49kFbfvMxQYw
The-Dream,Rockin' That Shit,221920,TRUE,2009,62,0.672,0.62,8,-4.865,1,0.0422,0.123,0,0.362,0.627,78.005,"hip hop, pop, R&B",1W3FSF1BLpY3hlVIgvenLz,male,42,US,"['dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",1284006,spotify:artist:1W3FSF1BLpY3hlVIgvenLz
Adele,Rumour Has It,223266,FALSE,2011,0,0.612,0.748,0,-5.014,1,0.0445,0.617,0,0.167,0.574,120.052,"pop, R&B",4dpARuHxo51G3z768sgnrY,female,32,GB,"['british soul', 'pop', 'pop soul', 'uk pop']",53224523,spotify:artist:4dpARuHxo51G3z768sgnrY
Nicky Jam,X,172854,FALSE,2019,74,0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,latin,1SupJlEpv7RS2tPNRaHViT,male,40,PR,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",19298697,spotify:artist:1SupJlEpv7RS2tPNRaHViT
Thirty Seconds To Mars,The Kill,231533,FALSE,2005,74,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,rock,0RqtSIYZmd4fiBKVFqyIqD,mixed,22,US,"['modern rock', 'post-grunge']",3473633,spotify:artist:0RqtSIYZmd4fiBKVFqyIqD
Imagine Dragons,Believer,204346,FALSE,2017,1,0.779,0.787,10,-4.305,0,0.108,0.0524,0,0.14,0.708,124.982,rock,53XhwfbYqKCa1cC15pYq2q,mixed,12,US,"['modern rock', 'pop', 'rock']",51594781,spotify:artist:53XhwfbYqKCa1cC15pYq2q
Ludacris,Stand Up,213760,TRUE,2003,57,0.751,0.84,6,-4.855,1,0.349,0.367,0,0.0916,0.801,99.057,"hip hop, pop",3ipn9JLAPI5GUEo4y4jcoi,male,42,US,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2758032,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi
Backstreet Boys,Shape of My Heart,230093,FALSE,2000,70,0.575,0.786,9,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102,pop,5rSXSAkZ67PYJSvpUpkOr7,mixed,27,US,"['boy band', 'dance pop', 'pop']",5491812,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7
Ariana Grande,boyfriend (with Social House),186106,TRUE,2019,77,0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,pop,66CXWjxzNUsdJxJ2JdwvnR,female,27,US,['pop'],95710972,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Ariana Grande,7 rings,178626,TRUE,2019,83,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,pop,66CXWjxzNUsdJxJ2JdwvnR,female,27,US,['pop'],95710972,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Lorde,Team,193058,FALSE,2013,0,0.691,0.582,6,-7.444,1,0.0939,0.162,0,0.247,0.427,100.05,"pop, Dance/Electronic",163tK9Wjr9P9DmM0AVK7lm,female,23,NZ,"['art pop', 'metropopolis', 'nz pop', 'pop']",10027736,spotify:artist:163tK9Wjr9P9DmM0AVK7lm
The Weeknd,I Feel It Coming,269186,FALSE,2016,78,0.773,0.819,0,-5.946,0,0.118,0.428,0,0.0679,0.585,92.987,"pop, R&B",1Xyo4u8uXC1ZmMpatF05PJ,male,30,CA,"['canadian contemporary r&b', 'canadian pop', 'pop']",75945958,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
Imagine Dragons,Thunder,187146,FALSE,2017,1,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,rock,53XhwfbYqKCa1cC15pYq2q,mixed,12,US,"['modern rock', 'pop', 'rock']",51594781,spotify:artist:53XhwfbYqKCa1cC15pYq2q
Nelly,Hot In Herre,228240,TRUE,2002,75,0.956,0.745,11,-4.753,0,0.12,0.206,0,0.0615,0.912,107.075,"hip hop, pop, R&B",2gBjLmx6zQnFGQJCAQpRgw,male,45,US,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",2614317,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw
Clean Bandit,Solo (feat. Demi Lovato),222653,FALSE,2018,71,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66E-05,0.35,0.565,105.005,"pop, Dance/Electronic",6MDME20pz9RveH9rEXvrOM,mixed,12,GB,"['pop', 'uk dance', 'uk funky']",5387305,spotify:artist:6MDME20pz9RveH9rEXvrOM
Jessie J,Do It Like A Dude,195240,TRUE,2011,57,0.663,0.843,2,-3.672,1,0.049,0.0491,0,0.364,0.375,140.036,"hip hop, pop",2gsggkzM5R49q6jpPvazou,female,32,GB,"['dance pop', 'pop']",11757334,spotify:artist:2gsggkzM5R49q6jpPvazou
Shakira,Underneath Your Clothes,224066,FALSE,2001,64,0.616,0.597,8,-5.328,1,0.0415,0.691,0,0.104,0.362,165.508,"pop, latin",0EmeFodog0BfCgMzAIvKQp,female,43,CO,"['colombian pop', 'dance pop', 'latin pop', 'pop']",32459109,spotify:artist:0EmeFodog0BfCgMzAIvKQp
Ed Sheeran,Don't,219840,FALSE,2014,72,0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.049,pop,6eUKZXaKkcviH0Ku9w2n3V,male,29,GB,"['pop', 'singer-songwriter pop', 'uk pop']",115998928,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
AWOLNATION,Sail,259102,FALSE,2011,2,0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119.038,"pop, rock",4njdEjTnLfcGImKZu1iSrz,mixed,11,US,"['la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp pop']",2144091,spotify:artist:4njdEjTnLfcGImKZu1iSrz
Sean Paul,I'm Still in Love with You (feat. Sasha),273360,FALSE,2002,68,0.765,0.666,7,-5.384,1,0.172,0.102,0,0.116,0.756,87.002,"hip hop, pop",3Isy6kedDrgPYoTS1dazA9,male,47,JM,"['dance pop', 'dancehall', 'pop', 'pop rap']",4582173,spotify:artist:3Isy6kedDrgPYoTS1dazA9
Sech,Otro Trago,225933,TRUE,2019,71,0.746,0.7,0,-4.669,1,0.341,0.136,0.000159,0.11,0.619,176.044,latin,77ziqFxp5gaInVrF2lj4ht,male,26,PA,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']",12113101,spotify:artist:77ziqFxp5gaInVrF2lj4ht
Jax Jones,Breathe,207629,FALSE,2017,58,0.722,0.744,11,-5.52,0,0.0363,0.0234,0.000157,0.143,0.686,125.985,"hip hop, pop, Dance/Electronic",4Q6nIcaBED8qUel8bBx6Cr,male,33,GB,"['dance pop', 'edm', 'house', 'pop dance', 'uk dance', 'uk pop']",1155788,spotify:artist:4Q6nIcaBED8qUel8bBx6Cr
Normani,Motivation,193837,FALSE,2019,71,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21E-06,0.3,0.881,170.918,"pop, R&B",2cWZOOzeOm4WmBJRnD5R7I,female,24,US,"['pop', 'r&b']",2569752,spotify:artist:2cWZOOzeOm4WmBJRnD5R7I
Taylor Swift,Blank Space,231826,FALSE,2014,82,0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,pop,06HL4z0CvFAxyc27GXpf02,female,30,US,['pop'],95859165,spotify:artist:06HL4z0CvFAxyc27GXpf02
Adam Lambert,Ghost Town,208330,TRUE,2015,46,0.703,0.736,4,-5.709,0,0.046,0.186,1.92E-05,0.174,0.274,119.955,pop,6prmLEyn4LfHlD9NnXWlf7,male,38,US,"['dance pop', 'idol', 'pop', 'post-teen pop']",1584443,spotify:artist:6prmLEyn4LfHlD9NnXWlf7
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,223773,FALSE,2003,59,0.804,0.836,6,-6.635,0,0.089,0.32,0,0.213,0.85,120.046,pop,26dSoYclwsYLMAKD3tpOr4,female,38,US,"['dance pop', 'pop']",13488107,spotify:artist:26dSoYclwsYLMAKD3tpOr4
Of Monsters and Men,Little Talks,266600,FALSE,2012,79,0.457,0.757,1,-5.177,1,0.032,0.0206,0,0.146,0.417,102.961,"pop, rock, Folk/Acoustic",4dwdTW1Lfiq0cM8nBAqIIz,mixed,10,IS,"['folk-pop', 'metropopolis', 'modern rock', 'stomp and holler']",3532756,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz
Jagged Edge,Where the Party At (feat. Nelly),232573,FALSE,2001,67,0.596,0.661,5,-6.239,0,0.226,0.31,0,0.0847,0.86,129.491,"hip hop, pop, R&B",7Aq8lpLMSt1Zxu56pe9bmp,mixed,33,GB,"['atl hip hop', 'contemporary r&b', 'r&b', 'urban contemporary']",2095581,spotify:artist:7Aq8lpLMSt1Zxu56pe9bmp
Calvin Harris,Let's Go (feat. Ne-Yo),232800,FALSE,2012,66,0.71,0.882,4,-2.932,0,0.0595,0.00777,0.00771,0.294,0.875,128.016,"hip hop, pop, Dance/Electronic",7CajNmpbOovFoOoasH2HaY,male,36,GB,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",23513482,spotify:artist:7CajNmpbOovFoOoasH2HaY
Arctic Monkeys,Do I Wanna Know?,272394,FALSE,2013,84,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,rock,7Ln80lUS6He07XvHI8qqHH,mixed,18,GB,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",22763289,spotify:artist:7Ln80lUS6He07XvHI8qqHH
Calvin Harris,Acceptable in the 80's,333680,FALSE,2007,57,0.787,0.808,7,-5.454,1,0.0511,0.0143,0.257,0.0466,0.942,127.99,"hip hop, pop, Dance/Electronic",7CajNmpbOovFoOoasH2HaY,male,36,GB,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",23513482,spotify:artist:7CajNmpbOovFoOoasH2HaY
Lily Allen,Not Fair,201213,TRUE,2009,54,0.719,0.861,5,-6.982,1,0.0402,0.0447,0.00989,0.219,0.948,121.491,pop,13saZpZnCDWOI9D4IJhp1f,female,35,GB,"['dance pop', 'electropop']",2027961,spotify:artist:13saZpZnCDWOI9D4IJhp1f
Kendrick Lamar,Swimming Pools (Drank) - Extended Version,313786,TRUE,2012,63,0.716,0.485,1,-7.745,1,0.404,0.123,2.69E-05,0.604,0.26,74.132,hip hop,2YZyLoL8N0Wb9xBt1NhZWg,male,33,US,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",26350123,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
Sheck Wes,Mo Bamba,183906,TRUE,2018,77,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,hip hop,2RDOrhPqAM4jzTRCEb19qX,male,21,US,"['pop rap', 'rap', 'trap']",1538723,spotify:artist:2RDOrhPqAM4jzTRCEb19qX
B.o.B,Nothin' on You (feat. Bruno Mars),268320,FALSE,2010,74,0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,"hip hop, pop",5ndkK3dpZLKtBklKjxNQwT,male,36,JM,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",2126984,spotify:artist:5ndkK3dpZLKtBklKjxNQwT
